,Ratings,Review Date,Description,Review Title,Site
1,5.0,16 January 2020,"We started with drinks from their large selection of smoothies, shakes, lassi and juices, all freshly prepared and artfully presented. Our food choices were made from a good selection of traditional Indian vegetarian and non-vegetarian dishes as well as salads, Chinese and Continental dishes. The...More",Delecious food ..,Trip Advisor
2,5.0,14 January 2020,"We called in for a drink and returned for an evening meal as we liked the atmosphere and the look of the menu. In fact we liked it so much we returned each evening of our 4 night stay in Delhi.
Good is straightforward, meat...More",A little gem,Trip Advisor
3,5.0,14 January 2020,"Just landed from a trip to Varanasi and thought I'd try this place near my hotel that is highly rated. Ordered a tandoori platter of fish and lamb. Totally superb. International drinks reasonably priced too, compared to Taj hotels at least. Around £2 for JW...More",Well worth a visit,Trip Advisor
4,5.0,13 January 2020,"A charming & relaxed restaurant with good food which is well priced. The service was excellent, I ate here both as part of a group and as a solo twice. Felt perfectly relaxed and looked after every time. Lovely food and cocktails if so desired....More",Excellant restaurant with charitable intentions,Trip Advisor
5,5.0,12 January 2020,My family and I were staying local and found this gem. We went there twice on our first 2 days in Delhi as we felt very safe and enjoyed the delicious food and great service.,"Delicious, clean and safe dining ",Trip Advisor
6,4.0,10 January 2020,This was by far the best meal I had during a three week visit to Rajasthan over Christmas and New year 2019.  We were taken there by our tour guide as a last night meal and the food was sublime.  There were 12 of us...More,Wonderful concept - Great food!,Trip Advisor
7,5.0,9 January 2020,"I've been there 3 times by now and each time the food and service were absolutely fantastic. Can't go wrong with this place, in particular if you're travelling from the Western hemisphere and want to be careful in your choice of restaurants.",Great food for a great cause,Trip Advisor
8,5.0,9 January 2020,Really lovely meal in a cosy atmosphere. We attended as a large group and the food was very nice and out in a timely manner. Nice to support locals while having a really good experience.,Lovely ,Trip Advisor
9,5.0,9 January 2020,we enjoyed very much the food is just amazing good hopitallity so clean will come again and again thanks ajay brother for your infromation for this restaurant,enjoyed a lot,Trip Advisor
10,5.0,7 January 2020,The food at Kitchen With A Cause was incredible. There were plenty of staff to ensure prompt and friendly service. An awesome place doing the community an incredible service.,"Good Food, Great Community Service",Trip Advisor
11,5.0,4 January 2020,"Wat een mooi concept. 
Daarnaast heerlijk eten. 
Geraakt door de gastvrijheid! 

Dear Neina: 
Go for it.
I wish you an amazing future!More",Touch at the heart,Trip Advisor
12,5.0,4 January 2020,"Recommended- this place is doing great things. The food, service and atmosphere is very good and it is decent value for money.",Really nice place with good food and service!,Trip Advisor
13,5.0,3 January 2020,We ate here with our guide and group of 10 on a G Adventures Tour. This place has a buzzing atmosphere. The food and service were excellent and it's great to know you are helping a fantastic cause. We would highly recommend a visit.More,Fabulous food and excellent service,Trip Advisor
14,5.0,2 January 2020,"While in Delhi we visited Kitchen With A Cause twice. The food was excellent both times. The restaurant has a good atmosphere and is clean and nicely designed, making it a cool place to hang out for an hour or two.More","Great food, atmosphere, and mission!",Trip Advisor
15,5.0,26 December 2019,Awesome place with an amazing message. Food was good if a little pricey. It was nice and calm Inside compared with the crazy street outside and the waitresses were so sweet.More,"Awesome place, great ethos",Trip Advisor
16,1.0,25 December 2019,"To begin with, I am a Proud Indian and would be blatantly honest about this review!
A couple of weeks ago, My photographer friend and I bumped into this cafe around 6:30 in the evening! 
We enter only to find most of the tables reserved!...More",You Bet There's A Cause!,Trip Advisor
17,4.0,25 December 2019,"While visiting the Karol Bagh market my family decided it was time to eat so we tried Kitchen With a Cause.

Love the concept of the establishment helping local young people.  The food was amazing too.

I tried the Shahi Paneer with rice and Roti....More",Great Cause Good Food,Trip Advisor
18,5.0,19 December 2019,"We visited a few times during our time in India and loved it here! There are so many delicious veggie options to choose from. I highly recommend the chickpea curry if you like a bit of spice, and all of the paneer curries were amazing...More",Visited here 3 times!!,Trip Advisor
19,5.0,17 December 2019,"Lots of choices, great tasty food and a good price. Amazing cocktails. Service was great and they help get street kids off the street, amazing place!",Great food and such a good cause ,Trip Advisor
20,5.0,12 December 2019,The food was delicious and service was excellent. The restaurant was very busy and very noisy.  I applaud the work they do to help get local youth off the streets with training for future jobs. Make reservations!More,Delicious food and helping local youth,Trip Advisor
21,5.0,11 December 2019,"Concept of the restaurant is wonderful. Food is magnificent. Stuffed naan, korma curry, butter chicken, garlic roti. OMG I could just keep going. It is definitely a must to eat at least once here",Delicious food,Trip Advisor
22,4.0,9 December 2019,Interesting new food. Very noisy. Usually with large tables of group tours that all talk loiuder than the other,For Tourist Groups,Trip Advisor
23,4.0,8 December 2019,"We visited Kitchen With A Cause as an optional meal on our Golden Triangle Tour. 

This restaurant provides opportunities for those wanting to get a foot in the hospitality industry, and also serves up delicious meals. The menu serves up Indian curries, breads, and rices,...More","Great food, friendly and attentive service, great social cause",Trip Advisor
24,5.0,6 December 2019,"Visited here today after reading the reviews and loved it. Great food reasonably priced, clean and well laid out restaurant and great service. Had the restaurants specials: fish curry & chicken curry, garlic Mann and rice. Will return.",Will Definitely Return ,Trip Advisor
25,4.0,27 November 2019,"Great food, service and atmosphere. And the opportunity to give back to the community. There's Indian, Chinese, burgers and pizza",Excellent,Trip Advisor
26,5.0,21 November 2019,"We went here twice during our trip to Delhi - the food was great, service was excellent, and the restaurant does great work for the local population (providing street kids with internship opportunities)! You can feel good about eating here.",Great place with a great mission!,Trip Advisor
27,5.0,20 November 2019,"We had a meal here just recently with our tour.  The best food, fantastic service and the concept is heartwarming.  You need to go here if you vidit New Dehli.",Fantastic Food,Trip Advisor
28,5.0,17 November 2019,"Really good food and amazing staff.
The place is welcoming, warm and clean.
The food is various and fresh!
Most important, with a cause!
Good job!",Really good place!,Trip Advisor
29,3.0,17 November 2019,"The ambience is very nice and service excellent. The food however was very disappointing. My malai kofta was pale, bland and unappetising. The paratha was just OK. Would not go back here.",Disappointing,Trip Advisor
30,5.0,12 November 2019,"I visited kitchen with a cause restaurant alongwith my fiancee...the food was awesome & the service was even better....that too at very low prices...

By knowing that this restaurant helps the underprivileged youth of the streets to train them for the better future, I was...More",Excellent,Trip Advisor
31,5.0,10 November 2019,"During my trip, I went here for dinner and drinks several times and everything I ordered from the menu was excellent! Delicious food, modern and bright atmosphere, friendly staff and at very reasonable prices. 

I really love the concept of this restaurant. Kitchen With A...More",Excellent food and service,Trip Advisor
32,5.0,5 November 2019,"We were introduced to this restaurant as part of a G Adventures Tour and in my two weeks of being in India, this was my favourite restaurant. The food is high quality and exquisitely made, and what makes the experience that bit more special is...More",Responsible tourism in its finest form,Trip Advisor
33,5.0,2 November 2019,"We visited as part of our G Adventures tour but also went back twice more because we were so impressed with the food, the service and the experience. All the food was fresh and tasty, price was very good, the cocktails were cheap and delicious.",Great food - value for money - lovely staff,Trip Advisor
34,5.0,31 October 2019,"What a great place to eat, and such a wonderful cause.  Welcoming, friendly and very efficient.  I'm happy to recommend to any traveller.","Delicious food, a brilliant concept.",Trip Advisor
35,5.0,29 October 2019,We visited this restaurant twice during our stay in Delhi - delicious local and international food (noodles & veg are great for when you need that fix!),Delicious food and lovely staff,Trip Advisor
36,5.0,29 October 2019,"Fabulous atmosphere, very clean, great staff, brilliant service. Toilets western style very clean. Food all freshly prepared. Pre book essential if large group like ours. Accommodated the bills as we asked for individual ones. Concept of this KAFE is so important to help local people...More",Group visit of 12 travellers average age of group 60 years. Food excellent variety especially vegetarian choices. ,Trip Advisor
37,5.0,28 October 2019,"I ate here 3 times during my visit to Jaipur. 
Each time, whether in a group or on my own, I was made to feel very welcome. The food choice was good & it tasted lovely. When the restaurant was full in the evening, service...More",Great Food For A Great cause,Trip Advisor
38,5.0,28 October 2019,"We visited KWAC 3 times during our short stay in Delhi and were all very impressed with the quality of the food, the cleanliness of the restaurant, and the attentiveness of the staff. From the unique Lahore curry served in a clay pot to the...More",Outstanding traditional Indian food served in a chic casual setting,Trip Advisor
39,5.0,27 October 2019,"A group of 12 of us visited kitchen with a cause as part of a 2 week holiday in India. Such a great concept, the staff were lovely and so attentive and the food was great. We'll worth a visit","Amazing staff, restaurant and food",Trip Advisor
40,5.0,25 October 2019,"We ate at this restaurant on two occasions and both times the food was excellent, customer service fantastic and fabulous surroundings.  I also loved the fact that it supports young people to engage in training for their futures and helps them to find employment.  Super...More","Amazing restaurant, excellent food & staff and beautiful decor.",Trip Advisor
41,5.0,25 October 2019,We were drawn to the restaurant due to the premise of what the cause promotes and how it can help people but what I wasn't expecting was just how delicious the food was going to be. I was in India for 2 weeks and this...More,The best place to eat in Delhi,Trip Advisor
42,5.0,24 October 2019,"We've been in India for 2 weeks and this restaurant impressed us the most. Besides the great food and service, they are also working on a great cause and have values which I definitely stand behind. I very much recommend this.",Best restaurant experience in India,Trip Advisor
43,5.0,21 October 2019,"Nice that it also supports a good cause. Mostly visited by tourist, but excellent food and flavours, in a nice ambiance. Friendly staff. Alcohol served. 
Best meal in delhi.",Excellent food and flavours. Friendly staff. Alcohol served,Trip Advisor
44,4.0,14 October 2019,"""As it is in its name that this place is run for a Cause ie to help underprivileged to earn their living""...Good Ambience, Food & staff. When we visited this place it was fully occupied by the Foreign tourists & some were also waiting for...More","""Casual outing""",Trip Advisor
45,5.0,13 October 2019,We visited this restaurant as a group and had a great dinner. Excellent initiative and well worth supporting!,Great dinner,Trip Advisor
46,5.0,8 October 2019,Food was awesome and was a lovely air conditioned setting to sit and enjoy some quiet away from the hustle of the market outside.,Great Lunch!,Trip Advisor
47,5.0,29 September 2019,"Had a brief stopover in Delhi & found this gem. Not only is the food delicious, fish tikka & a seasonal veg curry, but it makes a difference to young people!",Great place to eat,Trip Advisor
48,5.0,24 September 2019,"I spent arround a week in India and went out for meals all the time. This restaurant was, so far, the one with the most tasty Indian food I came across. All the staff was very professional and polite.
Having great food for a good...More",Very tasty food,Trip Advisor
49,5.0,21 September 2019,"The best restaurant in Delhi! The best curry I have ever tasted, friendly staff and a great cause. Would highly recommend. We were in a big group and the restaurant staff did a great job of fitting us in because it was busy. Amazing cocktails...More",Best restaurant in Delhi!,Trip Advisor
50,5.0,18 September 2019,"Came here twice while in New Delhi, the first with a group & the second time solo.
Both times had great food & great friendly service. This is definately worth supporting.",Fantastic,Trip Advisor
51,5.0,12 September 2019,Ate here 3 times during my trip to The India. The food was excellent and the staff are all amazing. Bit more expensive than some other places but well worth it. You can also just go in for a beer if you want to get...More,Excellent food,Trip Advisor
52,5.0,10 September 2019,"I can’t understand why anyone would give this great restaurant less than 5 stars. We recently had dinner here and throughly enjoyed ourselves. 

The food was delicious and well presented the restaurant had a nice feel to it. On top of that they are helping...More",Please take the time to support this great restaurant.,Trip Advisor
53,4.0,4 September 2019,"We went here twice, at the beginning and end of our tour. As a first night restaurant it was great. The staff speak English, the food is good, and it is busy. We were with an organised tour, and it looked like a lot of...More",Good for New Visitors,Trip Advisor
54,1.0,1 September 2019,"All 5 star reviews for a restaurant should give people a cause to be concerned.  Like many other westerners who have reviewed this restaurant, we also went there for dinner because we thought the place was doing some good.  The food took ages to arrive,...More",Kitchen without a cause,Trip Advisor
55,5.0,26 August 2019,"I came here with a group and really enjoyed both the food and the atmosphere. Between us, we probably tried most of the stuff on the menu and there was nothing left on our plates, it was delicious. I had the butter chicken which i...More",Cool Place,Trip Advisor
56,5.0,25 August 2019,"I had the aloo ghobi (highly recommend it!) and it was the best I have had during my three weeks travel! Flavours and texture were absolutely on point. The staff is friendly and very service minded, making this perhaps one of my favourite restaurants in...More",Really tasty food and friendly staff - makes it a pleasure to support a good cause,Trip Advisor
57,5.0,11 August 2019,"The food here is excellent, fresh and well made.  The while idea is brilliant, and it's great to know that you are not just having a lovely meal but helping to get young people off the streets and into work.  The specials are great, as...More",Wonderful,Trip Advisor
58,5.0,30 July 2019,"very nice manager , interested to tell the story of their company, very nice food, busy but cosy , been there 3 times at a row",nice food and conversation,Trip Advisor
